yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed
0,5,15,0,1,0,1,0.8855476989763109,0.9869706422063085,0.23222965017741332
1,7,10,0,4,0,1,0.5386403080973242,0.8413673721585898,0.1809993349283421
0,1,18,1,0,0,2,0.6998666853206309,0.6094024239764617,0.0
0,3,14,0,6,1,1,0.35767997607716673,0.39241000214334376,0.23180983636068342
0,2,22,0,2,1,1,0.5202396306360066,0.43664683005163635,0.06537098447540272
1,9,22,0,5,1,3,0.7949812632824919,0.8072772207995415,0.3044157148917459
0,10,15,1,4,1,1,0.45121751717145203,0.5056227573738159,0.16052190022684792
0,6,10,0,4,0,1,0.5340031489844469,0.4327448634784573,0.2855315847921292
0,10,21,0,2,1,1,0.685856504101982,0.480971563120586,0.11299652445745322
1,3,15,0,4,1,2,0.354066330936515,0.49461189813476836,0.1986527688323754
0,8,7,0,0,0,2,0.08076549479045841,0.7913441527951136,0.33815907278720714
0,8,3,0,0,1,1,0.5461994398741317,0.5969886167325268,0.15718606052820971
0,2,7,0,2,0,2,0.6873614688724197,0.3624568354959544,0.11781690740241049
0,6,3,0,5,1,1,0.2367580138546967,0.6332183263776698,0.2702354247209869
1,7,23,0,3,1,2,0.6260421122257697,0.6701106074549233,0.2678645913479193
0,2,2,0,1,0,2,0.6273411901841965,0.5347504582658562,0.12296351189537216
1,11,2,0,3,0,2,0.05921154709066262,0.8502335568929744,0.0
1,10,17,0,4,1,1,0.31669906099520356,0.5460171700366373,0.11546725580465869
1,2,18,0,1,1,3,0.42076791372496275,0.8410602453724588,0.27296592501553474
0,10,18,0,2,0,2,0.46239946765300194,0.7423660420581766,0.095279746420636
1,1,20,0,2,1,1,0.35389211683017147,0.8059986863126688,0.18875946882580852
0,8,4,0,5,0,2,0.3435193999387194,0.4152856079774246,0.10966074871249229
1,1,17,0,1,1,1,0.818841430682953,0.6461958084790687,0.0
1,9,9,0,0,1,2,0.4762759991859195,0.617036741247393,0.10745908471077946
1,11,21,0,1,0,1,0.36315225712401455,0.3528813565170853,0.27244873157730554
1,6,20,0,4,0,2,0.4890597336334977,0.8404280226341974,0.0
1,7,5,0,0,0,1,0.600407295994694,0.46952782000066523,0.2209478176022387
